name,address,phone
新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號及士商路51號、51號2樓、51號3樓、51號4樓、51號5樓、51號6樓、51號7樓、53號、55號、57號,228332211
中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,02-27081166
國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段266巷6號，280號,227082121
宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路四段７１巷１號,227713161
秀傳醫院,臺北市大安區光復南路116巷1.3.5號1至4樓及地下1樓,(02)2771-7172
中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路四段７７號,227510221
台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路2段92號,02-25433535
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段９２號,225433535
泰安醫院,臺北市中山區民權東路二段９２巷２之1號(地下一樓至地上六樓),225375633
協和婦女醫院,臺北市中山區松江路85巷5號1，2，3，4樓、93巷6號1，2，4樓,225072222
國立台灣大學醫學院附設醫院,臺北市中正區中山南路７、８號；常德街１號,02 23123456
國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,23123456
郵政總局郵政醫院（委託中英醫療社團法人經營）,臺北市中正區福州街14號,02-23956755
中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,02-27919696
三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號；臺北市中正區汀州路3段40號,
康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段４２０巷２６號,26345500
臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,臺北市文山區興隆路三段111號,229307930
景美醫院,臺北市文山區羅斯福路六段280號,02-29331010
臺北市北投健康管理醫院,臺北市北投區中和街2號,02-28988686
臺北榮民總醫院,臺北市北投區石牌路二段２０１號,228712121
醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市北投區立德路１２５號,02-28970011
臺北市立關渡醫院─委託臺北榮民總醫院經營,臺北市北投區知行路二二五巷十二號,28587000
振興醫療財團法人振興醫院,臺北市北投區振興街４５號,228264400
三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路６０號 中和街二五○號,228959808
基督復臨安息日會醫療財團法人臺安醫院,"臺北市松山區八德路二段424,426號",227718151
培靈醫院,臺北市松山區八德路四段３５５號,227606116
博仁綜合醫院,臺北市松山區光復北路６６－６８號,225786677
三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路１３１號,227462151
長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路１９９號,227135211
臺北醫學大學附設醫院,臺北市信義區吳興街２５2號,227372181
仁康醫院,臺北市信義區基隆路二段１３１之２４號,227360226
同仁院醫療財團法人萬華醫院,臺北市萬華區中華路二段６０６巷６號,223059292
西園醫院,臺北市萬華區西園路二段266~274號、185、187、189號,223076968
國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區康定路３７號、臺北市萬華區內江街87號 ,223717101
財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市萬華區廣州街２００，２４３號,223021131
臺北市立聯合醫院附設松山門診部,臺北市松山區八德路4段694號一樓二樓,227671757
臺北市立聯合醫院附設大安門診部,臺北市大安區辛亥路3段15號,27390997
臺北市立聯合醫院附設大同門診部,臺北市大同區昌吉街五十二號一、二樓,225948971
臺北市立聯合醫院附設中山門診部,臺北市中山區松江路３６７號１樓,225014614
臺北市立聯合醫院附設內湖門診部,臺北市內湖區民權東路六段99號,227908387
臺北市立聯合醫院附設南港門診部,臺北市南港區南港路一段３６０號１樓,227868782
臺北市立聯合醫院附設南軟門診部,臺北市南港區園區街3之2號2樓,27863137
臺北市立聯合醫院附設南軟中醫門診部,臺北市南港區園區街3之2號2樓,02-27863137
臺北市立聯合醫院附設士林門診部,臺北市士林區中正路439號,228813039
臺北市立聯合醫院附設士林中醫門診部,臺北市士林區中正路439號,28836268
臺北市立聯合醫院附設北投門診部,臺北市北投區新市街30號5樓,2891-2670
臺北市立聯合醫院附設信義門診部,臺北市信義區信義路五段１５號１樓,227234598
臺北市立聯合醫院附設中正門診部,臺北市中正區牯嶺街24號,02 23210168
臺北市立聯合醫院附設精神科門診,臺北市中正區金山南路一段五號一、二樓,33936779
臺北市立聯合醫院附設萬華門診部,臺北市萬華區東園街152號,23395383
臺北市立聯合醫院附設萬華中醫門診部,臺北市萬華區東園街152號,02-23395383
臺北市立聯合醫院附設政大門診部,臺北市文山區指南路二段117號,222343501
