name,addr
123健康藥局,台北市興隆路二段220巷31弄26號
71恩典藥局,台北市信義路二段71號
OK藥師藥局,台北市興安街95號
一心藥局,台北市和平東路3段238號
九州藥局,台北市和平東路三段239號
九福藥局,台北市公館路236號
人人健保藥局,台北市保儀路39號
人人藥局,台北市吉林路267號
人生藥局,台北市延平北路六段26號
力康藥局,台北市吳興街166之1號
又又藥局,台北市光復北路228號
三元藥局,台北市三元街158號
三立藥局,台北市忠孝東路5段492巷34號
三光藥局,台北市延平北路五段320號
三和藥局,台北市景福街255號
三省大藥局,台北市民族西路303巷19號
三原藥局,台北市延平北路五段293號
三源藥局,台北市康定路197號
三銘大藥局,台北市迪化街一段80號
上允藥局,台北市民生東路五段78號
上禾藥師藥局,台北市林口街27號
上丞藥師藥局,台北市成福路10號
上好藥局,台北市德行西路79號
上安藥局,台北市中山北路一段105巷13之2號
上典藥局,台北市光復北路172號
上欣藥局,台北市漢口街二段20巷3號
上海聯合藥局,台北市衡陽路32號
上頤藥局,台北市中和街327號
丸三大藥局,台北市自強街105號
久大藥局,台北市林森北路480號
千瑞藥局,台北市忠孝東路三段300號
千誠國泰藥局,台北市仁愛路4段300巷15號
千誠藥局,台北市內江街90號
千福藥局,台北市忠孝東路四段45號
士林三安藥局,台北市大南路11號
士新藥局,台北市文昌路62號
大元藥局,台北市南京東路五段291巷32之1號
大內湖藥局,台北市成功路四段12號
大田大藥局,台北市石牌路二段68巷4號
大同民生藥局,台北市民生西路128號
大安仁愛藥局,台北市大安路1段157巷3號
大安健康人生藥局,台北市信義路4段34號
大安藥局,台北市新生南路一段106號
大東健保藥局,台北市大東路86之4號
大直小太陽藥局,台北市北安路611號
大直健康藥局,台北市北安路591號
大直藥局,台北市北安路617號
大信藥局,台北市林森北路159巷6號
大南春天生活藥局,台北市大南路317號
大家藥局,台北市光明路182號
大鳥藥局,台北市莊敬路354號
大順安藥局,台北市吳興街84號
大愛生活藥局,台北市汀州路二段232號
大愛健康藥局,台北市敦化南路2段63巷65號
大愛藥師藥局,台北市吉林路255號
大嘉藥局,台北市梧州街60號
大樹龍江藥局,台北市龍江路242號
大興藥局,台北市通化街39巷50弄15號
大龍峒美妝藥局,台北市大龍街292號
小明藥局,台北市中央南路一段69號
小林健保藥局,台北市萬大路273號
小豬藥局,台北市石牌路一段166巷83號
小藥師健保藥局,台北市福德街320之1號
川秀藥局,台北市石牌路二段99巷9號
中力信義藥局,台北市信義路四段51號
中力藥局,台北市襄陽路13之5號
中山盛康藥局,台北市中山北路七段162號
中山樂方藥局,台北市仁愛路四段112巷12號
中山藥局,台北市林森北路128號
中心藥局,台北市汀州路三段121號
中美藥局,台北市富錦街531號
中英大藥局,台北市永綏街6號
中泰藥局,台北市長春路311號
中崙五代全民藥局,台北市延吉街7之2號
中崙藥局,台北市八德路二段307號
中興聯合藥局,台北市鄭州路127號
中興藥局,台北市長安東路二段226號
予志藥局,台北市富錦街521號
仁一藥局,台北市林森北路520號
仁大藥局,台北市社子街13號
仁仁藥局,台北市康定路219號
仁弘藥局,台北市民生東路三段113巷25弄6號
仁杏藥局,台北市汀州路一段384號
仁?藥局,台北市合江街120號
仁泰藥局,台北市同德路28號
仁康藥局,台北市松仁路246號
仁愛藥局,台北市昆陽街81號
今欣藥局,台北市天母西路41巷9號
元氣生活健保藥局,台北市新生南路1段161巷10號
元誠藥局,台北市中和街219之1號
內湖藥局,台北市康寧路一段116號
天母大和藥師藥局,台北市德行東路189之1號
天母台安藥局,台北市天母西路34號
天母康甯健保藥局,台北市克強路8號
天母盛康藥局,台北市天母東路8巷84號
天康大藥局,台北市中央南路1段57號
天康忠孝藥局,台北市忠孝東路三段223之1號
天賀大藥局,台北市石牌路2段171號
天蓮藥局,台北市石牌路一段166巷115號
天爵藥局,台北市中山北路6段450巷1號
